username,userid,profile_location,created_at,text,retweet_count,source,coordinates
A L L 💪🏾 M I G H T,70474909,Lost in the SEA,2023-01-21 02:08:55,"“How can you not adore, better than before” @ Space Needle https://t.co/qelGG03MuY",0,Instagram,"{'type': 'Point', 'coordinates': [-122.34930479, 47.62050311]}"
KOMO News,16086928,"Seattle, WA",2023-01-20 21:30:00,"The camp is located at the intersection of Fairview Avenue and Mercer Street near the on-ramp to I-5.
https://t.co/OYKTPLV1Yy",1,TweetDeck,
seattle newswire,1517978818132135936,"Seattle, Washington",2023-01-20 20:35:00,"South Lake Union encampment neighbors report fires, ‘Mad Max’ weapons #seattle - KOMO News https://t.co/J0YsPoolBN",0,seattlebrief,
Seattle Office of Sustainability & Environment,376828612,"Seattle, Washington",2023-01-20 20:05:30,A single home’s yearly heating oil usage has a similar carbon footprint of driving from the Space Needle to SeaTac… https://t.co/R1AMB58nOD,0,Twitter Web App,
7on7 Association,1151615707160821760,"Seattle, WA",2023-01-20 17:06:08,The Space Needle Shootout 🏆 is up for grabs! We are only 8 days out. Plays will be made and viral moments created.… https://t.co/HFeyjiLekg,2,Twitter for iPhone,
Benny Drawbars,1580412213021806592,Seattle WA,2023-01-20 08:22:19,@SeattleKraken @space_needle It's up with Prince's guitar from the 2004 Rock Hall performance of 'While My Guitar G… https://t.co/RoDrGqWG0T,0,Twitter for Android,
Dicentranoire,33536959,"SEATTLE, WA",2023-01-20 08:12:31,@SeattleKraken @space_needle Just another Burky Bullet !,0,Twitter for iPhone,
KrakenCaptains,1438776758375878659,Seattle,2023-01-20 07:58:12,@SeattleKraken @space_needle It all balances out because Jonesy got rejected on the first attempt.,0,Twitter for iPhone,
Sean Bartley,14516237,"Seattle, WA",2023-01-20 03:06:18,@space_needle @EmpireStateBldg Awwwww besties.,0,Twitter Web App,
"Michael, good vibes only",2789100846,"Seattle, WA / Lynnwood, WA",2023-01-20 02:11:27,@ckb104 @cosmicplague Space needle lounge. You can there via the 100 level,0,Twitter for iPhone,
the garages covers,1482818978921783307,"Seattle, WA",2023-01-20 00:55:27,"Nothing But Thieves - ""durham climbs the space needle""",0,"Cheap Bots, Done Quick!",
Matt Cook,64739425,"New Jersey, USA!",2023-01-20 00:50:10,"Space Needle now, @NJDevils game later! #NJDevils https://t.co/xziZIKbcCH",0,Twitter for iPhone,
Lucille Hallberg,786993560679690241,"Seattle, WA",2023-01-19 20:57:28,@JeremiahOshan Orbital Orange like the Space Needle?,0,Twitter for iPhone,
Feliks Banel,2468201852,Seattle,2023-01-19 20:17:26,@TacoTimeNW Can it be mere coincidence that Taco Time Hot Sauce and the Space Needle debuted the same year?,0,Twitter Web App,
Raul🃏,431900309,,2023-01-19 11:55:11,Highest in the room 🌵🃏 @ Space Needle https://t.co/ZibhBqsbjJ,0,Instagram,"{'type': 'Point', 'coordinates': [-122.34930479, 47.62050311]}"
the garages covers,1482818978921783307,"Seattle, WA",2023-01-19 09:56:03,"Puddle of Mudd - ""durham climbs the space needle""",0,"Cheap Bots, Done Quick!",
Wiser Home Care,3035209026,"Kent,WA",2023-01-19 03:41:44,@NWSSeattle @space_needle What a beautiful shot! Thanks for sharing,0,Twitter for iPhone,
Clark Humphrey,20713122,Seattle USA,2023-01-19 01:11:52,"@KIRONewsradio @FeliksBanel @space_needle I was listening. The Arlington, VA office park where King's show had its… https://t.co/yEJ20zz84k",0,Twitter Web App,
SeizureSalad 🧠,926941724814884864,"Seattle, WA ",2023-01-19 00:55:18,@IsMtRainierOut @space_needle Ok that's a trip...,0,TweetDeck,
KIRO Newsradio 97.3 FM🎙,20990445,"Seattle, Washington",2023-01-18 23:42:30,"Did you know we were the first Seattle station to carry the Larry King Show?

Listen to some vintage broadcasts, so… https://t.co/lx2pCw8qxV",1,TweetDeck,
Weber Thompson,2485829522,"Seattle, WA",2023-01-18 20:46:28,"The 616 Battery team received  approval from the Downtown Design Review Board at Recommendation!

The 45 story towe… https://t.co/2BtAqm6eUQ",0,Twitter Web App,
Gordon B. White,936144594,"Seattle, WA",2023-01-18 15:43:48,"@RickRReed Two from the Space Needle, showing different stages of the graphics loading in. https://t.co/t7DZOv9nFh",0,Twitter Web App,
MyNorthwest 🌲,21224486,Seattle,2023-01-18 15:37:50,"When Larry King passed away in 2021, he was lauded for his decades of hosting a popular TV talk show on CNN. But tr… https://t.co/15FBHcZvcl",0,TweetDeck,
Chris Greenwood,812204712,"Seattle, WA",2023-01-18 06:47:48,@chrismunns The Space Needle “Artists at Play” playground is very cool.  Carkeek Park has a decent playground but a… https://t.co/FIPw55F3oH,0,Twitter Web App,
Mark Roddy,18914066,"Seattle, WA",2023-01-18 04:32:28,@chrismunns Second the Space Needle/Seattle Center playground as others have said. It's larger than most other play… https://t.co/iOH2fDHBFb,0,Twitter Web App,
Curt Milton,16194427,Seattle,2023-01-18 03:58:02,@exitthelemming One of my favorite films … and the opening on the roof of the Space Needle still gives me the willi… https://t.co/QkNt1iiuaG,0,Twitter for iPad,
Praneeta Prakash,106303320,"Seattle, WA",2023-01-18 03:20:06,@chrismunns Space needle has a really good one for climbing,0,Twitter for iPhone,
PNW Medium Format,1618401930,"Seattle, WA",2023-01-18 03:11:26,"@Salanth @Trunksthedj @TourCNTower @space_needle The roof is where the action is at. Flag raising, minimal rail...… https://t.co/RtXKEANey3",0,Twitter Web App,
PNW Medium Format,1618401930,"Seattle, WA",2023-01-18 02:45:26,@Salanth @Trunksthedj @TourCNTower @space_needle Does this mean we should sign him up for Base 2 Space? It's only 8… https://t.co/pqnlYG9FcU,0,Twitter Web App,
Ann Jun,15037090,Seattle,2023-01-18 02:42:30,"@Trunksthedj @PNWmf Heh, I’ve climbed the @TourCNTower, I think of the @space_needle as cute.",0,Twitter for iPhone,
elsa♡,1027793150,"Seattle, WA",2023-01-18 01:57:35,@Justinthere89 @space_needle preach same here xx,0,Twitter for iPhone,
Justin thyme,1265011122,"Seattle, WA",2023-01-18 01:56:16,@supilikecats @space_needle I would never seattle for less (in the USA),1,Twitter for iPhone,
elsa♡,1027793150,"Seattle, WA",2023-01-18 01:53:33,@Justinthere89 @space_needle i love seattle dawg,0,Twitter for iPhone,
Justin thyme,1265011122,"Seattle, WA",2023-01-18 01:39:58,@supilikecats @space_needle Yo that rocks,1,Twitter for iPhone,
Jess Feldman,1078063730842251264,"Sammamish, WA",2023-01-17 23:07:10,@HenriekeDraws Be sure to check out the Mold-a-Rama! (If it’s working) you can get a little mini Space Needle!,0,Twitter for iPhone,
MariyahYoung2024,1374138771017330690,"Seattle, WA",2023-01-17 21:21:50,Matt Hartner Classic @uoregon! Undefeated all tournament! 9-0 Highest Point% than any other @PSRVolleyball U17 &amp; U1… https://t.co/3Hf5wSGgnc,0,Twitter for iPhone,
David E Haase,725255286,Seattle,2023-01-17 07:17:54,@SeattleKraken @space_needle Great day to enjoy a Kraken game. https://t.co/6rzirJSIoa,0,Twitter for iPhone,
Space Needle,18041530,"Seattle, WA, U.S.A.",2023-01-17 05:23:46,@EmpireStateBldg Ah maze ing,0,Twitter for iPhone,
Space Needle,18041530,"Seattle, WA, U.S.A.",2023-01-17 05:22:16,It was lit at The Loupe Lounge today! #january #sunny #seattle #winter #spaceneedle #dine #drink #lounge https://t.co/81VBL1sRlc,13,Twitter for iPhone,
Trunks,1515110328647909376,"Seattle, WA",2023-01-17 04:26:12,I still need to check out the Space Needle,2,Twitter for iPhone,
M3 Sweatt,15965271,"Redmond, WA",2023-01-17 03:57:04,"As it always rains in Seattle, this must be an AI-generated image of a blue sky, winter afternoon downtown with a p… https://t.co/PjhBI6rZo1",0,Twitter for iPhone,
Chris Daniels,20286125,"Seattle, WA",2023-01-17 02:02:20,"Nice view outside the office tonight….

@komonews @space_needle https://t.co/fGkujsaoxC",5,Twitter for iPhone,
Shonna Grace,118723462,"Seattle, WA",2023-01-17 00:10:01,"@blkbttercup Mt. Rainier, Pike Place Market, The Pink Door is a good restaurant near Pike Place, Space Needle, Snoqualmie Falls.",0,Twitter for iPhone,
khyme,3954339192,"Seattle, WA",2023-01-16 23:44:23,@VitruviusGrind @michael_diamant I feel like another good one to ad would be the seattle space needle! built for th… https://t.co/TGixqB8dRj,0,Twitter for iPad,
Nullreff,218382176,Seattle,2023-01-16 12:52:03,Waking up in the Space Needle after falling asleep at a party. Thanks to whoever tucked me in. https://t.co/Nb7Mg7DsGa,0,Twitter Web App,
Moon To Mars 🇺🇸,1099355564767830017,"Seattle, Washington ",2023-01-16 07:31:47,"..good night 🌙... 
..nice look tonight Space Needle..
..loving that gold roof. https://t.co/w6CY2tRwGE",0,Twitter for Android,
Space Needle,18041530,"Seattle, WA, U.S.A.",2023-01-16 06:14:10,"New year, night shot #january #spaceneedle #seattle https://t.co/vmTwlrTDni",26,Twitter for iPhone,
Django Wexler,509381670,"Seattle, WA",2023-01-16 00:53:53,@PrinceJvstin There seems to be some kind of rule that you have to do this to Seattle and pretend that the Space Ne… https://t.co/J2l6bFbtLF,0,Twitter for Android,
HARMLESS,64830528,"Seattle, WA",2023-01-16 00:11:21,@Bluebitchtits @tiredoutmutt Elliott bay is actually a plasma ablation scar from the last hyperlightning bolt that struck the space needle,0,Twitter for Android,
HARMLESS,64830528,"Seattle, WA",2023-01-16 00:06:41,@Bluebitchtits @tiredoutmutt Space needle discharges the ionic mist,0,Twitter for Android,
🧧 jen 🧧,2233889376,"Seattle, WA",2023-01-15 21:02:20,space needle LOL https://t.co/JDd65D6n3V,0,Twitter for iPhone,
Winston Aries Targaryen,1018720749929066497,"☉ Aries , ☽ Gemini, ↑ Cancer",2023-01-15 15:59:38,Seattle’s space needle from above the skies. https://t.co/CRBglZEWlf,0,Twitter for iPhone,
Danthetruckguy,2320331634,"From Seattle, WA",2023-01-15 08:38:05,The #12s flag on the @space_needle still waves this evening as #Seattle says #ThankyouSeahawks for a fun season of… https://t.co/soxwfqVxqi,0,Twitter for iPhone,
Eric Yang,111426479,Seattle ,2023-01-15 06:29:44,Space needle. https://t.co/INE96026aF,0,Twitter for iPhone,
lizbeth7,1491578413617803266,"Woodinville, WA",2023-01-15 05:38:39,@ThatEricAlper Space Needle,0,Twitter for iPhone,
Angela Votes Blue,25422460,Seattle,2023-01-15 05:26:16,"@FeministRabble @AngryBlackLady Well, damn! I can't think of anyone else that was in the show. The Space Needle?",0,Twitter Web App,
RogerF1953,16704363,"Kirkland, WA",2023-01-15 04:54:34,"@ThatEricAlper Jimi Hendrix, Bill Gates and the Space Needle",0,Twitter for iPhone,
seattleKitty,576205295,"Lynnwood, WA",2023-01-15 04:39:15,@IsMtRainierOut @space_needle From @pike_place 💙 https://t.co/KotscjpHRl,0,Twitter for iPhone,
Novita Tandry,43832357,"Jakarta, Indonesia",2023-01-15 02:05:02,Just posted a photo @ Space Needle https://t.co/LBerk9oYQ5,0,Instagram,"{'type': 'Point', 'coordinates': [-122.34930479, 47.62050311]}"
